"rt","stimulus","response","participants","trial"
14786.700000003,"videos/fs2yo.mp4",25,1,1
15548,"dot_40_60",50,1,2
6203.10000000894,"videos/fs1y.mp4",14,1,3
4540.59999999404,"dot_40",30,1,4
7178.70000000298,"videos/fs1o.mp4",20,1,5
5629.5,"dot_60",40,1,6
8684.39999997616,"videos/fs1yo.mp4",25,2,1
2115,"dot_40_60",30,2,2
2055.39999997616,"videos/fs2y.mp4",5,2,3
2499.09999996424,"dot_40",30,2,4
2325.80000001192,"videos/fs2o.mp4",30,2,5
2101.40000003576,"dot_60",50,2,6
5853,"videos/fs2yo.mp4",20,3,1
9557,"dot_40_60",50,3,2
3613,"videos/fs1y.mp4",7,3,3
3611,"dot_40",30,3,4
7589,"videos/fs1o.mp4",35,3,5
9090,"dot_60",40,3,6
3545.79999995232,"videos/fs2yo.mp4",28,4,1
3312.5,"dot_40_60",32,4,2
2050.20000004768,"videos/fs1y.mp4",12,4,3
1577.90000009537,"dot_40",23,4,4
3090.79999995232,"videos/fs1o.mp4",29,4,5
2945.5,"dot_60",66,4,6
6404.59999999404,"videos/fs2yo.mp4",15,5,1
48172.6999999881,"dot_40_60",60,5,2
44236.3999999762,"videos/fs1y.mp4",10,5,3
5121.69999998808,"dot_40",40,5,4
3479.69999998808,"videos/fs1o.mp4",15,5,5
15312.900000006,"dot_60",13,5,6
3309,"videos/fs2yo.mp4",25,6,1
2328,"dot_40_60",50,6,2
966,"videos/fs1y.mp4",10,6,3
1456,"dot_40",30,6,4
1378,"videos/fs1o.mp4",21,6,5
1367,"dot_60",50,6,6
20526,"videos/fs2yo.mp4",25,7,1
7515,"dot_40_60",45,7,2
2242,"videos/fs1y.mp4",12,7,3
3605,"dot_40",15,7,4
1723,"videos/fs1o.mp4",20,7,5
2176,"dot_60",25,7,6
10457.095,"videos/fs1yo.mp4",25,8,1
6649.31999999998,"dot_40_60",34,8,2
5935.05999999991,"videos/fs2y.mp4",13,8,3
818.249999999913,"dot_40",22,8,4
3075.41000000003,"videos/fs2o.mp4",29,8,5
2874.51999999996,"dot_60",38,8,6
5177.79999999993,"videos/fs1yo.mp4",8,9,1
5661.90000000002,"dot_40_60",40,9,2
4177.39999999991,"videos/fs2y.mp4",11,9,3
5124.89999999991,"dot_40",28,9,4
3652.90000000002,"videos/fs2o.mp4",20,9,5
2681.90000000002,"dot_60",35,9,6
2330.69999998808,"videos/fs2yo.mp4",25,10,1
2271.60000002384,"dot_40_60",50,10,2
6880.20000004768,"videos/fs1y.mp4",10,10,3
8955,"dot_40",30,10,4
8609.90000003576,"videos/fs1o.mp4",15,10,5
4544.10000002384,"dot_60",50,10,6
14522,"videos/fs2yo.mp4",19,11,1
5852,"dot_40_60",30,11,2
6812,"videos/fs1y.mp4",8,11,3
1717,"dot_40",15,11,4
11783,"videos/fs1o.mp4",25,11,5
4674,"dot_60",25,11,6
2417,"videos/fs2yo.mp4",14,12,1
2661,"dot_40_60",40,12,2
1549,"videos/fs1y.mp4",8,12,3
2384,"dot_40",27,12,4
1602,"videos/fs1o.mp4",16,12,5
2016,"dot_60",45,12,6
