Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Iair decision,why
647ded5e2326c7b7c67c23f8,5cade139dc2eb10001cc06b6,AWAITING REVIEW,2023-06-05T14:13:08.120000Z,2023-06-05T14:23:13.994000Z,,2023-06-05T14:23:14.454314Z,606,C1HYOJGP,12,"English, Portuguese",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking),approve/reject,?
647ded622b0e2e958c88fb1f,64724264f02fe05e61736abe,AWAITING REVIEW,2023-06-05T14:13:18.933000Z,2023-06-05T14:27:52.299000Z,,2023-06-05T14:27:55.129667Z,874,C1HYOJGP,0,"Afrikaans, English",44,Female,Other,South Africa,South Africa,South Africa,English,No,Full-Time,approve/reject,?
647ded714c195bcbd0786cb0,60e385374c667ddc060ecb4f,AWAITING REVIEW,2023-06-05T14:13:08.265000Z,2023-06-05T14:24:33.363000Z,,2023-06-05T14:24:33.831071Z,686,C1HYOJGP,82,"Afrikaans, English",20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),approve/reject,?
647ded82d9c2711336b6b43e,5c9cd2732464d80017c30fb3,AWAITING REVIEW,2023-06-05T14:13:22.790000Z,2023-06-05T14:22:38.517000Z,,2023-06-05T14:22:38.988050Z,556,C1HYOJGP,59,"Portuguese, English",26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,approve/reject,?
647dedae210f37cbc5e6950a,6081617b71a46e4694f4668b,AWAITING REVIEW,2023-06-05T14:14:09.117000Z,2023-06-05T14:31:27.248000Z,,2023-06-05T14:31:45.922539Z,1039,C1HYOJGP,76,"Portuguese, English",22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking),approve/reject,?
647dedb3b17156e8ec9b04ea,61198b15aede4ef58a2dda0a,AWAITING REVIEW,2023-06-05T14:14:11.929000Z,2023-06-05T14:21:43.853000Z,,2023-06-05T14:21:44.522408Z,452,C1HYOJGP,180,"Polish, English",26,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),approve/reject,?
647dedbac88996e5181f2814,5ffa3ca8a1f5f24038661d33,AWAITING REVIEW,2023-06-05T14:14:18.754000Z,2023-06-05T14:23:48.014000Z,,2023-06-05T14:23:48.678913Z,570,C1HYOJGP,195,"English, Portuguese",20,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,approve/reject,?
647dedbadc3870d4aafed889,5c882036de8ae1000103d3fa,AWAITING REVIEW,2023-06-05T14:14:18.228000Z,2023-06-05T14:20:57.604000Z,,2023-06-05T14:20:58.038222Z,400,C1HYOJGP,356,"Polish, English",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time,approve/reject,?
647dedca929a4eab68c8379a,606f09532a4cd140f28376a4,AWAITING REVIEW,2023-06-05T14:14:42.001000Z,2023-06-05T14:25:04.841000Z,,2023-06-05T14:25:09.431805Z,623,C1HYOJGP,50,English,23,Female,White,South Africa,South Africa,South Africa,English,No,Part-Time,approve/reject,?
647dee14cdb539f3c3b77b74,5f33c58329beab1f63c0dfaa,AWAITING REVIEW,2023-06-05T14:16:22.733000Z,2023-06-05T14:32:04.166000Z,,2023-06-05T14:32:27.357495Z,942,C1HYOJGP,131,"English, Polish",22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),approve/reject,?
647dee3ee40be054e11f27e3,5cb63520029f810015b238f8,AWAITING REVIEW,2023-06-05T14:16:40.463000Z,2023-06-05T14:28:41.925000Z,,2023-06-05T14:28:44.289105Z,722,NOCODE,131,"Basque, English, Spanish",26,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time,approve/reject,?
647dee85d5432a62837a2807,60f816402b8f256f9443d861,AWAITING REVIEW,2023-06-05T14:17:55.349000Z,2023-06-05T14:52:09.742000Z,,2023-06-05T14:52:10.163557Z,2055,C1HYOJGP,33,"English, Afrikaans",32,Male,Mixed,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED,approve/reject,?
647def4cc5262d41bfd7ac1a,646b682f7569388a1d061ddb,AWAITING REVIEW,2023-06-05T14:21:06.339000Z,2023-06-05T14:32:44.621000Z,,2023-06-05T14:32:45.089869Z,699,NOCODE,0,"Portuguese, English",21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,approve/reject,?
647def56c7d6b77d370e4343,6166d663ad32ab706018e2e3,AWAITING REVIEW,2023-06-05T14:21:13.977000Z,2023-06-05T14:31:45.759000Z,,2023-06-05T14:32:18.607919Z,632,C1HYOJGP,96,"English, Polish",23,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time,approve/reject,?
647def9dfd701d1ae61f27da,57e928630cb6700001dd8f8a,AWAITING REVIEW,2023-06-05T14:22:23.666000Z,2023-06-05T14:33:08.580000Z,,2023-06-05T14:33:09.450097Z,645,C1HYOJGP,955,"English, French, Spanish, Portuguese",29,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,approve/reject,?
647defdb1e44227f014236a1,60ae9482cd4230fc459dea5a,AWAITING REVIEW,2023-06-05T14:23:26.847000Z,2023-06-05T14:32:15.561000Z,,2023-06-05T14:32:30.777972Z,529,http://66.97.39.157:443/publix/153/480/start?srid=15966,303,"English, German",38,Female,White,Austria,Switzerland,Austria,German,No,Full-Time,approve/reject,?
647df0c3262931cfd40e431a,60f626d71aa6e276b1d70804,AWAITING REVIEW,2023-06-05T14:27:15.225000Z,2023-06-05T14:48:15.546000Z,,2023-06-05T14:48:15.941373Z,1261,C1HYOJGP,53,English,25,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking),approve/reject,?
647df10550550f826a786c82,6141e051f795313ac08173ab,AWAITING REVIEW,2023-06-05T14:28:36.010000Z,2023-06-05T14:39:09.899000Z,,2023-06-05T14:39:10.793188Z,634,NOCODE,147,English,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,approve/reject,?
647df1f723ef5f8802d3ded6,61294d788828c0adad40d8cf,AWAITING REVIEW,2023-06-05T14:32:23.793000Z,2023-06-05T14:49:21.662000Z,,2023-06-05T14:49:22.062796Z,1018,C1HYOJGP,73,"Afrikaans, English",24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,approve/reject,?
647df1f7918efd06479ed968,60f0606a61eb5a43c4179887,AWAITING REVIEW,2023-06-05T14:32:23.146000Z,2023-06-05T14:48:30.011000Z,,2023-06-05T14:48:30.454827Z,967,C1HYOJGP,158,"Portuguese, English",23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,approve/reject,?
