"rt","stimulus","response","participant","trial"
5323.5,"videos/fs1yo.mp4",16,1,1
4946.5,"dot1_13_26",30,1,2
4278.20000004768,"videos/fs2y.mp4",13,1,3
7014.69999992847,"dot2_26",35,1,4
3138.5,"videos/fs2o.mp4",22,1,5
2301,"dot2_52",40,1,6
3842.89999997616,"videos/fs2yo.mp4",16,2,1
6358.5,"dot2_26_52",50,2,2
2037.5,"videos/fs1y.mp4",8,2,3
2381.30000001192,"dot1_13",15,2,4
3157.80000001192,"videos/fs1o.mp4",15,2,5
2456.90000003576,"dot1_26",30,2,6
14608.5,"videos/fs2yo.mp4",26,3,1
11212.7000000477,"dot2_26_52",30,3,2
6855.69999980927,"videos/fs1y.mp4",8,3,3
7062.09999990463,"dot1_13",15,3,4
6240.40000009537,"videos/fs1o.mp4",19,3,5
5880.20000004768,"dot1_26",20,3,6
10286.8000000119,"videos/fs2yo.mp4",21,4,1
6997.59999996424,"dot2_26_52",99,4,2
3570.30000001192,"videos/fs1y.mp4",8,4,3
5848.20000004768,"dot1_13",20,4,4
4887.80000001192,"videos/fs1o.mp4",15,4,5
8832.19999998808,"dot1_26",23,4,6
13531,"videos/fs1yo.mp4",14,5,1
7728.69999999925,"dot1_13_26",22,5,2
7501.90000000037,"videos/fs2y.mp4",13,5,3
5544.70000000112,"dot2_26",28,5,4
7142.59999999963,"videos/fs2o.mp4",23,5,5
4069,"dot2_52",45,5,6
11942.6999999285,"videos/fs1yo.mp4",8,6,1
5589.70000004768,"dot1_13_26",37,6,2
6003.5,"videos/fs2y.mp4",17,6,3
3539.90000009537,"dot2_26",23,6,4
4158.80000007153,"videos/fs2o.mp4",25,6,5
2917.19999992847,"dot2_52",42,6,6
11799.1999999285,"videos/fs1yo.mp4",13,7,1
5399.60000002384,"dot1_13_26",25,7,2
9054.5,"videos/fs2y.mp4",25,7,3
3114.29999995232,"dot2_26",30,7,4
3742.29999995232,"videos/fs2o.mp4",30,7,5
2983.10000002384,"dot2_52",40,7,6
6852.70000004768,"videos/fs2yo.mp4",25,8,1
5599.80000007153,"dot2_26_52",55,8,2
844.799999952316,"videos/fs1y.mp4",12,8,3
1438.89999997616,"dot1_13",13,8,4
797.700000047684,"videos/fs1o.mp4",30,8,5
933.900000095367,"dot1_26",30,8,6
4156.5,"videos/fs2yo.mp4",20,9,1
4566.20000004768,"dot2_26_52",34,9,2
3540.70000004768,"videos/fs1y.mp4",38,9,3
5871.5,"dot1_13",14,9,4
3748.69999980927,"videos/fs1o.mp4",26,9,5
4764.70000004768,"dot1_26",22,9,6
5996.59999999404,"videos/fs2yo.mp4",23,10,1
7699.5,"dot2_26_52",100,10,2
7101.69999998808,"videos/fs1y.mp4",10,10,3
3964.40000000596,"dot1_13",20,10,4
4667.5,"videos/fs1o.mp4",18,10,5
3426.09999999404,"dot1_26",40,10,6
6218.89999999851,"videos/fs2yo.mp4",27,11,1
6729.39999999851,"dot2_26_52",39,11,2
5322,"videos/fs1y.mp4",36,11,3
5996.90000000224,"dot1_13",17,11,4
4290.10000000149,"videos/fs1o.mp4",34,11,5
3221.80000000075,"dot1_26",21,11,6
5370.19999999925,"videos/fs1yo.mp4",30,12,1
5653.90000000037,"dot1_13_26",27,12,2
2752,"videos/fs2y.mp4",9,12,3
3124.59999999963,"dot2_26",24,12,4
2638.5,"videos/fs2o.mp4",21,12,5
2905.19999999925,"dot2_52",32,12,6
4485.90000000596,"videos/fs1yo.mp4",15,13,1
7391.90000000596,"dot1_13_26",30,13,2
2877.30000001192,"videos/fs2y.mp4",6,13,3
3039.09999999404,"dot2_26",20,13,4
2856.90000000596,"videos/fs2o.mp4",25,13,5
3902.5,"dot2_52",40,13,6
12687.900000006,"videos/fs1yo.mp4",22,14,1
5022.39999997616,"dot1_13_26",45,14,2
3775.39999997616,"videos/fs2y.mp4",14,14,3
5939.69999998808,"dot2_26",50,14,4
2967.20000001788,"videos/fs2o.mp4",20,14,5
6226.59999999404,"dot2_52",80,14,6
3520.59999999963,"videos/fs1yo.mp4",15,15,1
2978.20000000019,"dot1_13_26",17,15,2
5177.5,"videos/fs2y.mp4",9,15,3
2822.90000000037,"dot2_26",22,15,4
4781.79999999981,"videos/fs2o.mp4",22,15,5
4131.29999999981,"dot2_52",35,15,6
7389.59999999404,"videos/fs1yo.mp4",25,16,1
5690.89999997616,"dot1_13_26",17,16,2
3956.19999998808,"videos/fs2y.mp4",18,16,3
4420.5,"dot2_26",18,16,4
4284,"videos/fs2o.mp4",20,16,5
4184.09999999404,"dot2_52",26,16,6
7637,"videos/fs2yo.mp4",18,17,1
3780,"dot2_26_52",30,17,2
2879,"videos/fs1y.mp4",12,17,3
2151,"dot1_13",10,17,4
3816,"videos/fs1o.mp4",40,17,5
19870,"dot1_26",20,17,6
13461,"videos/fs2yo.mp4",25,18,1
9016,"dot2_26_52",40,18,2
1919,"videos/fs1y.mp4",7,18,3
2051,"dot1_13",14,18,4
2078,"videos/fs1o.mp4",30,18,5
2588,"dot1_26",25,18,6
8020,"videos/fs2yo.mp4",13,19,1
5405,"dot2_26_52",40,19,2
4586,"videos/fs1y.mp4",6,19,3
5043,"dot1_13",15,19,4
3466,"videos/fs1o.mp4",23,19,5
5229,"dot1_26",25,19,6
7067.19999999995,"videos/fs2yo.mp4",26,20,1
14706.7000000002,"dot2_26_52",50,20,2
2121,"videos/fs1y.mp4",6,20,3
2041.19999999995,"dot1_13",16,20,4
4049.39999999991,"videos/fs1o.mp4",30,20,5
1570.59999999986,"dot1_26",26,20,6
9111.30000000075,"videos/fs1yo.mp4",26,21,1
8710.39999999851,"dot1_13_26",18,21,2
5842.40000000037,"videos/fs2y.mp4",12,21,3
6483.20000000112,"dot2_26",25,21,4
6438,"videos/fs2o.mp4",22,21,5
4774.59999999963,"dot2_52",38,21,6
10257,"videos/fs2yo.mp4",26,22,1
10128,"dot2_26_52",34,22,2
14078,"videos/fs1y.mp4",31,22,3
3036,"dot1_13",13,22,4
13415,"videos/fs1o.mp4",29,22,5
2456,"dot1_26",21,22,6
7234.19999998808,"videos/fs2yo.mp4",20,23,1
13017.799999997,"dot2_26_52",100,23,2
5448,"videos/fs1y.mp4",7,23,3
1827.20000000298,"dot1_13",13,23,4
1891.90000000596,"videos/fs1o.mp4",30,23,5
2373.89999999106,"dot1_26",30,23,6
6640.79999995232,"videos/fs2yo.mp4",32,24,1
10989.2999999523,"dot2_26_52",35,24,2
30053.7000000477,"videos/fs1y.mp4",16,24,3
5339.20000004768,"dot1_13",23,24,4
8405.59999990463,"videos/fs1o.mp4",41,24,5
16802.6999998093,"dot1_26",32,24,6
28395.5,"videos/fs2yo.mp4",16,25,1
10119.3000000007,"dot2_26_52",28,25,2
5409.90000000037,"videos/fs1y.mp4",8,25,3
4693.89999999851,"dot1_13",18,25,4
7446.5,"videos/fs1o.mp4",15,25,5
5573.40000000037,"dot1_26",25,25,6
8096.20000004768,"videos/fs1yo.mp4",23,26,1
9374.69999992847,"dot1_13_26",20,26,2
5189.10000002384,"videos/fs2y.mp4",13,26,3
7575.79999995232,"dot2_26",30,26,4
3117.30000007153,"videos/fs2o.mp4",26,26,5
3828.29999995232,"dot2_52",60,26,6
20148.8999999985,"videos/fs2yo.mp4",20,27,1
5069.90000000224,"dot2_26_52",50,27,2
2920.89999999851,"videos/fs1y.mp4",6,27,3
9625.19999999925,"dot1_13",15,27,4
5819.90000000224,"videos/fs1o.mp4",24,27,5
5836,"dot1_26",25,27,6
6120.69999980927,"videos/fs1yo.mp4",11,28,1
7044.09999990463,"dot1_13_26",31,28,2
4025.70000004768,"videos/fs2y.mp4",16,28,3
3711.20000004768,"dot2_26",36,28,4
4277.09999990463,"videos/fs2o.mp4",21,28,5
2417.29999995232,"dot2_52",40,28,6
12133.0999999642,"videos/fs2yo.mp4",18,29,1
5534.90000003576,"dot2_26_52",40,29,2
3946.19999998808,"videos/fs1y.mp4",22,29,3
2542,"dot1_13",13,29,4
62761.6999999881,"videos/fs1o.mp4",25,29,5
961.699999988079,"dot1_26",32,29,6
5255.20000001788,"videos/fs2yo.mp4",11,30,1
2692.40000000596,"dot2_26_52",67,30,2
3495.20000001788,"videos/fs1y.mp4",6,30,3
2596.59999999404,"dot1_13",13,30,4
2404.29999998212,"videos/fs1o.mp4",21,30,5
1876.59999999404,"dot1_26",32,30,6
8869.19999999925,"videos/fs1yo.mp4",8,31,1
8935.19999999925,"dot1_13_26",20,31,2
8089,"videos/fs2y.mp4",7,31,3
6554.19999999925,"dot2_26",28,31,4
4229.90000000224,"videos/fs2o.mp4",18,31,5
6570.30000000075,"dot2_52",50,31,6
4972.79999999702,"videos/fs1yo.mp4",17,32,1
5379.09999999404,"dot1_13_26",25,32,2
2519.70000000298,"videos/fs2y.mp4",10,32,3
