"rt","response","position","type","participant"
6114.20000004768,35,1,"morph",1
3835.79999995232,35,2,"many",1
23833.5,30,1,"morph",2
6912.30000000075,50,2,"many",2
8896.60000002384,22,1,"morph",3
4788.20000004768,35,2,"many",3
11545.8999999985,20,1,"morph",4
4883.89999999851,20,2,"many",4
10712.0999999996,50,1,"morph",5
4362.5,80,2,"many",5
9157.5,30,1,"morph",6
5941.90000000224,30,2,"many",6
10986,45,1,"morph",7
11241.5,37,2,"many",7
13328.3000000119,45,1,"morph",8
11778.4000000358,60,2,"many",8
5090.80000000075,150,1,"morph",9
4769.59999999963,82,2,"many",9
4138.89999999991,25,1,"morph",10
6432.29999999981,35,2,"many",10
6055.5,50,1,"morph",11
9869.79999995232,50,2,"many",11
8569.69999980927,29,1,"morph",12
6721.70000004768,35,2,"many",12
8000.80000001192,30,1,"morph",13
2520.30000001192,35,2,"many",13
6276,30,1,"morph",14
3580,40,2,"many",14
5101.79999999981,100,1,"morph",15
4992.5,100,2,"many",15
31218.7000000002,90,1,"morph",16
7804,100,2,"many",16
3973,50,1,"morph",17
3492,70,2,"many",17
26528.7000000179,25,1,"morph",18
8835.80000001192,30,2,"many",18
4000.40000000596,35,1,"morph",19
4515.5,30,2,"many",19
8182.19999998808,40,1,"morph",20
8036.79999999702,40,2,"many",20
7332.39999997616,21,1,"morph",21
2282.79999995232,21,2,"many",21
6393,40,1,"morph",22
2516,30,2,"many",22
14071,60,1,"morph",23
4401,70,2,"many",23
9107.89999997616,100,1,"morph",24
6191.29999995232,100,2,"many",24
