"rt","response","position","type","participant"
6438,55,1,"morph",1
5900,45,2,"many",1
14052.3000000119,80,1,"morph",2
8335.10000000894,50,2,"many",2
11849.7000000001,50,1,"morph",3
7083.80000000005,80,2,"many",3
7018.70000000019,25,1,"morph",4
3992.89999999991,33,2,"many",4
5208.5,30,1,"morph",5
2686.10000002384,25,2,"many",5
13407.9000000358,25,1,"morph",6
2493.5,30,2,"many",6
6167.09999999404,30,1,"morph",7
2863.79999999702,35,2,"many",7
4599,40,1,"morph",8
1383,30,2,"many",8
6679.20000004768,40,1,"morph",9
6745.5,50,2,"many",9
6664.19999992847,45,1,"morph",10
6194.29999995232,55,2,"many",10
6771.39999985695,35,1,"morph",11
3622.70000004768,40,2,"many",11
7510.5,30,1,"morph",12
9559.60000002384,50,2,"many",12
7659,35,1,"morph",13
6252.79999999702,45,2,"many",13
20896.1999999881,50,1,"morph",14
5464.69999998808,90,2,"many",14
14120.6999999881,45,1,"morph",15
4778,35,2,"many",15
23875.1999999881,46,1,"morph",16
7041,38,2,"many",16
13716.3999999762,100,1,"morph",17
3639.30000007153,70,2,"many",17
5154.40000000037,30,1,"morph",18
3024.10000000149,35,2,"many",18
6768.30000001192,45,1,"morph",19
5041.30000001192,38,2,"many",19
6354,30,1,"morph",20
4500,30,2,"many",20
3615.60000002384,60,1,"morph",21
3398.89999997616,45,2,"many",21
4703.59999999998,50,1,"morph",22
5765.5,40,2,"many",22
7428,38,1,"morph",23
3336.90000000224,43,2,"many",23
6114.20000004768,35,1,"morph",24
3835.79999995232,35,2,"many",24
23833.5,30,1,"morph",25
6912.30000000075,50,2,"many",25
8896.60000002384,22,1,"morph",26
4788.20000004768,35,2,"many",26
11545.8999999985,20,1,"morph",27
4883.89999999851,20,2,"many",27
10712.0999999996,50,1,"morph",28
4362.5,80,2,"many",28
9157.5,30,1,"morph",29
5941.90000000224,30,2,"many",29
10986,45,1,"morph",30
11241.5,37,2,"many",30
13328.3000000119,45,1,"morph",31
11778.4000000358,60,2,"many",31
5090.80000000075,150,1,"morph",32
4769.59999999963,82,2,"many",32
4138.89999999991,25,1,"morph",33
6432.29999999981,35,2,"many",33
6055.5,50,1,"morph",34
9869.79999995232,50,2,"many",34
8569.69999980927,29,1,"morph",35
6721.70000004768,35,2,"many",35
8000.80000001192,30,1,"morph",36
2520.30000001192,35,2,"many",36
6276,30,1,"morph",37
3580,40,2,"many",37
5101.79999999981,100,1,"morph",38
4992.5,100,2,"many",38
31218.7000000002,90,1,"morph",39
7804,100,2,"many",39
3973,50,1,"morph",40
3492,70,2,"many",40
26528.7000000179,25,1,"morph",41
8835.80000001192,30,2,"many",41
4000.40000000596,35,1,"morph",42
4515.5,30,2,"many",42
8182.19999998808,40,1,"morph",43
8036.79999999702,40,2,"many",43
7332.39999997616,21,1,"morph",44
2282.79999995232,21,2,"many",44
6393,40,1,"morph",45
2516,30,2,"many",45
14071,60,1,"morph",46
4401,70,2,"many",46
9107.89999997616,100,1,"morph",47
6191.29999995232,100,2,"many",47
