"participants","type","estimation","position_stim"
1,"many",40,1
2,"many",60,1
3,"many",24,1
4,"many",45,1
5,"many",40,1
6,"many",300,1
7,"many",45,1
8,"many",50,1
9,"many",200,1
10,"many",66,1
11,"many",75,1
12,"many",57,1
13,"many",48,1
14,"many",35,1
15,"many",45,1
16,"many",75,1
17,"many",35,1
18,"many",23,1
19,"many",30,1
20,"many",100,1
21,"many",70,1
22,"many",24,1
23,"many",35,1
24,"many",60,1
25,"many",50,1
26,"many",60,1
27,"many",45,1
28,"many",38,1
29,"many",60,1
30,"many",50,1
31,"many",45,1
32,"many",35,1
33,"many",89,1
34,"many",100,1
35,"many",80,1
36,"many",30,1
37,"many",40,1
38,"many",35,1
39,"many",30,1
40,"many",20,1
41,"many",55,1
42,"many",40,1
43,"many",35,1
44,"many",89,1
45,"many",60,1
46,"many",35,1
47,"many",40,1
48,"many",35,1
49,"many",40,1
50,"many",50,1
51,"many",50,1
52,"many",50,1
53,"many",50,1
54,"many",40,1
1,"many",50,2
2,"many",150,2
3,"many",30,2
4,"many",45,2
5,"many",45,2
6,"many",250,2
7,"many",30,2
8,"many",58,2
9,"many",175,2
10,"many",72,2
11,"many",75,2
12,"many",73,2
13,"many",48,2
14,"many",56,2
15,"many",45,2
16,"many",75,2
17,"many",50,2
18,"many",45,2
19,"many",45,2
20,"many",80,2
21,"many",70,2
22,"many",34,2
23,"many",35,2
24,"many",70,2
25,"many",50,2
26,"many",50,2
27,"many",45,2
28,"many",35,2
29,"many",65,2
30,"many",55,2
31,"many",40,2
32,"many",45,2
33,"many",69,2
34,"many",60,2
35,"many",40,2
36,"many",30,2
37,"many",40,2
38,"many",45,2
39,"many",33,2
40,"many",30,2
41,"many",55,2
42,"many",50,2
43,"many",35,2
44,"many",93,2
45,"many",45,2
46,"many",35,2
47,"many",50,2
48,"many",30,2
49,"many",35,2
50,"many",50,2
51,"many",50,2
52,"many",50,2
53,"many",38,2
54,"many",52,2
